username,repo_name,stars,repo_url
flutter,flutter,149000,https://github.com/flutter/flutter
facebook,react-native,107000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,98900,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,75700,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,60600,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,47200,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,45200,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,45000,https://github.com/Solido/awesome-flutter
square,okhttp,43400,https://github.com/square/okhttp
android,architecture-samples,42100,https://github.com/android/architecture-samples
square,retrofit,41000,https://github.com/square/retrofit
dcloudio,uni-app,37600,https://github.com/dcloudio/uni-app
fastlane,fastlane,36300,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36000,https://github.com/PhilJay/MPAndroidChart
laurent22,joplin,34100,https://github.com/laurent22/joplin
airbnb,lottie-android,33500,https://github.com/airbnb/lottie-android
bumptech,glide,33300,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,33300,https://github.com/shadowsocks/shadowsocks-android
skylot,jadx,33000,https://github.com/skylot/jadx
xitu,gold-miner,31800,https://github.com/xitu/gold-miner
